Title,Type,Organizer,Location,Deadline,Source,Link,Funding Range,Startup Stage,Remote
Antler Global Residency,Accelerator,Antler,Global (20+ cities),Rolling,Antler,https://www.antler.co/,"$125,000 – $200,000",Pre-idea / Pre-seed,Hybrid
Founder Institute — Global Pre-Seed,Accelerator,Founder Institute,Global (Remote),Rolling,Founder Institute,https://fi.co/,Varies,Pre-seed,Yes
Startupbootcamp Global Programs,Accelerator,Startupbootcamp,Amsterdam / Dubai / London,Rolling,Startupbootcamp,https://www.startupbootcamp.org/,"€15,000 + perks",Early Stage,Hybrid
Entrepreneur First London,Accelerator,Entrepreneur First,"London, UK",March 2026,Entrepreneur First,https://www.joinef.com/,"Up to $250,000",Pre-team / Pre-idea,No
OpenAI Startup Fund,Grant,OpenAI,Global (Remote),Rolling,OpenAI,https://openai.fund/,$1M+,Early Stage AI,Yes
SBIR/STTR Federal Grants,Grant,US Federal Government,USA,Varies by agency,SBIR,https://www.sbir.gov/,"Up to $2,000,000",R&D Stage,Yes
AWS Activate Founders,Grant,Amazon Web Services,Global,Rolling,AWS,https://aws.amazon.com/startups/,"Up to $100,000 credits",Early Stage,Yes
Microsoft for Startups Founders Hub,Grant,Microsoft,Global,Rolling,Microsoft,https://startups.microsoft.com/,"Up to $150,000 credits",All Stages,Yes
HubSpot for Startups Program,Grant,HubSpot,Global (Remote),Rolling,HubSpot,https://www.hubspot.com/startups,90% software discount,All Stages,Yes
Stripe Atlas Grant Program,Grant,Stripe,Global,Rolling,Stripe,https://stripe.com/atlas,$500 credits + perks,Pre-seed,Yes
EIC Accelerator (EU Horizon),Grant,European Commission,European Union,June 2026,EU Horizon,https://eic.ec.europa.eu/eic-funding/eic-accelerator_en,Up to €2.5M + equity,SMEs & Startups,Hybrid
Horizon Europe EIC Pathfinder,Grant,European Commission,European Union,March 2026,EU Horizon,https://eic.ec.europa.eu/eic-funding/eic-pathfinder_en,Up to €4M,Deep Tech / R&D,Hybrid
Google.org Impact Challenge,Grant,Google.org,Global,Rolling,Google.org,https://www.google.org/,"Up to $2,000,000",Social Impact Startups,Yes
TechCrunch Disrupt Startup Battlefield,Conference,TechCrunch,"San Francisco, CA",July 2026,TechCrunch,https://techcrunch.com/events/disrupt/,"$100,000 equity-free",Early Stage,No
Web Summit Alpha Startup Program,Conference,Web Summit,"Lisbon, Portugal",September 2026,Web Summit,https://websummit.com/startups/alpha,Exposure + networking,Pre-seed,No
Slush 100 Pitching Competition,Conference,Slush,"Helsinki, Finland",October 2026,Slush,https://slush.org/,€1M investment prize,Early Stage,No
SXSW Pitch Competition,Conference,SXSW,"Austin, TX",November 2025,SXSW,https://www.sxsw.com/pitch/,Exposure + prizes,Early Stage,No
CES Innovation Awards 2026,Conference,Consumer Technology Association,"Las Vegas, NV",October 2025,CES,https://www.ces.tech/innovation-awards/,Recognition award,Product Stage,No
Rise of the Rest Pitch Competition,Conference,Steve Case / Revolution,US Cities (Tour),Rolling,Rise of the Rest,https://www.riseoftherest.com/,"$100,000",Early Stage,No
Hello Tomorrow Global Challenge,Conference,Hello Tomorrow,"Paris, France",January 2026,Hello Tomorrow,https://www.hellotomorrow.global/,€1M+ total prizes,Deep Tech,No
MIT $100K Entrepreneurship Competition,Conference,MIT,"Cambridge, MA",February 2026,MIT,https://www.mit100k.org/,"$100,000",Idea / Pre-seed,No
Wharton Venture Award,Conference,Wharton School,"Philadelphia, PA",March 2026,Wharton,https://entrepreneurship.wharton.upenn.edu/,"$20,000+",Student / Early Stage,No
Product Hunt Ship Program,Grant,Product Hunt,Remote,Rolling,Product Hunt,https://www.producthunt.com/ship,Platform perks,Pre-launch,Yes
Indie Hackers Grant Program,Grant,Indie Hackers,Remote,Rolling,Indie Hackers,https://www.indiehackers.com/,Varies,Bootstrapped,Yes
Conviction Embed Program,Accelerator,Conviction Capital,Remote / SF,Rolling,Conviction,https://www.conviction.com/embed,$1M+,Pre-seed,Hybrid
Pioneer Tournament,Accelerator,Pioneer.app,Remote,Rolling (weekly),Pioneer,https://pioneer.app/,"$10,000 + mentorship",Pre-seed / Idea,Yes
Neo Accelerator,Accelerator,Neo,San Francisco / Remote,Rolling,Neo,https://neo.com/,"$200,000",Pre-seed,Hybrid
Hugging Face Startup Program,Grant,Hugging Face,Remote,Rolling,Hugging Face,https://huggingface.co/support,"$50,000 compute credits",AI Startups,Yes
Kyber (YC W23) Is Hiring a Founding Marketer,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/kyber/jobs/1rLQAro-founding-marketer-content-community,Varies,Early/Growth,No
Hightouch (YC S19) Is Hiring,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://hightouch.com/careers,Varies,Early/Growth,No
"SigNoz (YC W21, open source Datadog) Is hiring for growth and engineering roles",Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://signoz.io/careers,Varies,Early/Growth,No
Infracost (YC W21) Is Hiring Sr Dev Advocate to make agents cloud cost-aware,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/infracost/jobs/NzwUQ7c-senior-developer-advocate,Varies,Early/Growth,No
Terranox AI (YC W26) Is Hiring a Founding AI/ML Engineer and Summer AI/ML Intern,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.workatastartup.com/companies/terranox-ai,Varies,Early/Growth,No
Substrate (YC S24) Is Hiring a Technical Success Manager,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/substrate/jobs/T2fMBhD-technical-success-manager,Varies,Early/Growth,No
Text Blaze (YC W21) Is Hiring for a No-AI Summer Internship,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/text-blaze/jobs/P4CCN62-the-blaze-no-ai-summer-internship,Varies,Early/Growth,No
Bild AI (YC W25) Is Hiring Founding Product Engineers,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://bild.ai/jobs,Varies,Early/Growth,No
9 Mothers (YC P26) Is Hiring,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://jobs.ashbyhq.com/9-mothers?utm_source=x8pZ4B3P3Q,Varies,Early/Growth,No
Mux (YC W16) Is Hiring,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.mux.com/jobs,Varies,Early/Growth,No
GovernGPT (YC W24) Is Hiring Engineers to Build Thinking Systems in Montreal,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/governgpt/jobs/hRyltS0-backend-engineer-thinking-systems,Varies,Early/Growth,No
Coverage Cat (YC S22) Seeks Fractional Engineer to Build AI Growth Toolkit,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.coveragecat.com/careers/engineering/fractional-growth-engineer,Varies,Early/Growth,No
Proliferate (YC S25) Is Hiring- 200k for junior engineers,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/proliferate/jobs/L3copvK-founding-engineer,Varies,Early/Growth,No
CollectWise (YC F24) Is Hiring,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/collectwise/jobs/rEWfZ6R-senior-forward-deployed-engineer,Varies,Early/Growth,No
Gooseworks (YC W23) Is Hiring a Founding Growth Engineer,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/gooseworks/jobs/ztgY6bD-founding-growth-engineer,Varies,Early/Growth,No
Stardex Is Hiring a Founding Customer Success Lead,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/stardex/jobs/6GCK1HC-founding-customer-success-lead,Varies,Early/Growth,No
Infisical (YC W23) Is Hiring Full Stack Software Engineers (Remote),Job / Opportunity,YC-backed Company,Remote,Rolling,Hacker News,https://jobs.ashbyhq.com/infisical/782b9da8-20e1-48b2-919e-6c5430c58628,Varies,Early/Growth,Yes
Terra API (YC W21) Hiring: Applied AI Strategist (Health Intelligence),Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/terra-api/jobs/DY7BCZU-applied-ai-strategist-market-intelligence-health,Varies,Early/Growth,No
Jiga (YC W21) Is Hiring,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://jiga.io/about-us/,Varies,Early/Growth,No
Trellis AI (YC W24) Is hiring engineers to build self-improving agents,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/trellis-ai/jobs/SvzJaTH-member-of-technical-staff-product-engineering-full-time,Varies,Early/Growth,No
Bloom (YC P26) Is Hiring,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/trybloom/jobs,Varies,Early/Growth,No
UpCodes (YC S17) is hiring SDRs to help make construction more productive,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://up.codes/careers?utm_source=HN,Varies,Early/Growth,No
Arc Prize Foundation (YC W26) Is Hiring a Platform Engineer for ARC-AGI-4,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/arc-prize-foundation/jobs/AKZRZDN-platform-engineer-benchmark-lead,Varies,Early/Growth,No
Kyber (YC W23) Is Hiring a Head of Engineering,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/kyber/jobs/TcEa3b5-head-of-engineering,Varies,Early/Growth,No
Substrate AI Is Hiring Harness Engineers,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/substrate/jobs/QJU9023-harness-engineer,Varies,Early/Growth,No
RamAIn (YC W26) Is Hiring,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/ramain/jobs/bwtwd9W-founding-gtm-operations-lead,Varies,Early/Growth,No
Adaptional (YC S25) is hiring AI engineers,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.ycombinator.com/companies/adaptional/jobs/k7W6ge9-founding-engineer,Varies,Early/Growth,No
MDalgorithms (AI Healthcare) – Hiring Growth Marketer – Remote – $80K-$140K,Job / Opportunity,YC-backed Company,Remote,Rolling,Hacker News,https://www.ycombinator.com/companies/mdalgorithms-inc/jobs/LVODKN7-growth-marketer-for-a-rapidly-growing-consumer-ai-healthcare-startup,Varies,Early/Growth,Yes
EasyPost (YC S13) Is Hiring,Job / Opportunity,YC-backed Company,See listing,Rolling,Hacker News,https://www.easypost.com/careers,Varies,Early/Growth,No
London-based Mouro Capital secures €343.4 million first close for third fund backed by Santander,Grant,EU Startups,Europe,See link,EU Startups,https://www.eu-startups.com/2026/05/london-based-mouro-capital-secures-e343-4-million-first-close-for-third-fund-backed-by-santander/,Varies,Early Stage,Hybrid
Italian AI LegalTech startup Lexroom raises €42.9 million Series B eight months after €16.2 million Series A,Grant,EU Startups,Europe,See link,EU Startups,https://www.eu-startups.com/2026/05/italian-ai-legaltech-startup-lexroom-raises-e42-9-million-series-b-eight-months-after-e16-2-million-series-a/,Varies,Early Stage,Hybrid
Malmö-based ClimateTech startup Salt & Fiber launches crowdfunding campaign alongside €300k pre-seed round,Grant,EU Startups,Europe,See link,EU Startups,https://www.eu-startups.com/2026/05/malmo-based-salt-launches-crowdfunding-campaign/,Varies,Early Stage,Hybrid
Weekly funding round-up! All of the European startup funding rounds we tracked this week (May 11–May 15),Grant,EU Startups,Europe,See link,EU Startups,https://www.eu-startups.com/2026/05/weekly-funding-round-up-all-of-the-european-startup-funding-rounds-we-tracked-this-week-may-11-may-15/,Varies,Early Stage,Hybrid
"Lansdowne Partners unveils new VC fund to turn UK university IP into global companies, hits €128.9 million first close",Grant,EU Startups,Europe,See link,EU Startups,https://www.eu-startups.com/2026/05/lansdowne-partners-unveils-new-vc-fund-to-turn-uk-university-ip-into-global-companies-hits-e128-9-million-first-close/,Varies,Early Stage,Hybrid
Marketing operating system Nectar Social raises $30M Series A led by Menlo,Grant,TechCrunch Report,Global,Rolling,TechCrunch,https://techcrunch.com/2026/05/16/marketing-operating-system-nectar-social-raises-30m-series-a-in-round-led-by-menlo/,Varies,All Stages,Yes
Meridian Ventures launched a $35M fund with a focus on MBA-deferred founders,Grant,TechCrunch Report,Global,Rolling,TechCrunch,https://techcrunch.com/2026/05/15/meridian-ventures-launched-35m-fund-to-back-mba-deferred-founders/,Varies,All Stages,Yes
"Anduril raises $5B, doubles valuation to $61B",Grant,TechCrunch Report,Global,Rolling,TechCrunch,https://techcrunch.com/2026/05/13/anduril-raises-5b-doubles-valuation-to-61b/,Varies,All Stages,Yes
Kevin Hartz’s A* just closed its third fund with $450M,Grant,TechCrunch Report,Global,Rolling,TechCrunch,https://techcrunch.com/2026/05/12/kevin-hartzs-a-just-closed-its-third-fund-with-450-million/,Varies,All Stages,Yes
